Kanda/Books,Sarga/Chapters,Shloka/Verse,English_translation
Bala,1,85," Enthroning Vibheeshana chieftain demons Lanka deed 
 Rama rejoiced highly free distress"
Bala,1,86," obtaining boon gods Rama   raised monkeys death travelled Ayodhya Pushpaka aircraft 
 surrounded good hearted ones"
Bala,1,87, Rama true valour going sage Bharadwaja hermitage sent Hanuma presence Bharata
Bala,1,88," having boarded Pushpaka aircraft leaving hermitage Bharadwaja narrating past history 
  Sugreeva events days exile forests flying overhead 
 places Rama went Nandigrama"
Bala,1,89," sinless Rama rejoining brothers village Nandigrama removed matted hair 
 regaining Seetha discarding hermit role 
 householder regained kingdom"
Bala,1,90," Rama ruling world highly rejoiced happy satisfied abundant 
 righteous wholesome disease free free fear famine"" Narada 
 foreseeing future telling Valmiki"
Bala,1,91," Rama throne men deaths children lifetime 
 ladies remain husband devouted unwidowed lifetime"
Bala,1,92," kingdom Rama fear subjects wildfires gale storms diseases 
 fear hunger thieves cattle drowned floodwaters"
Bala,1,93," Cities states replete wealth grains likewise subjects highly glad 
 like Krita yuga"
Bala,1,94," Like wise highly illustrious Rama having performed hundreds horse rituals having donated plentiful gold crores 
 cows wealth counted Brahmanas scholars according custom"
Bala,1,96," world Raghava establish kingly dynasties hundredfold maintaining 
 caste system positing duty caste bound provincial kingdom bound 
 duty order achieve perfect social harmony"
Bala,1,97," Having served kingdom thousand years thousand years i.e. total 
 thousand years Rama abode Brahma"
Bala,1,98," Ramayana holy sin eradicating merit endowing conformable teachings Vedas 
 reads Legend Rama verily liberated sins"
Bala,1,99," Ramayana long life giving narrative reading human blessed sons grandsons enjoying worldly 
 comforts attendants adored heaven demise"
Bala,1,100," reading Ramayana person Brahmana obtains excellency speech Kshatriya obtains land lordship Vaisya 
 attains profit trade Sudra attains excellence"" Sage Narada gave gist Ramayana 
 Sage poet Valmiki"
Bala,2,1,"great sage Valmiki skilled orator virtue minded having heard words Narada 
		 worshipped disciples"
Bala,2,2,"divine sage Narada worshipped befittingly Valmiki way seeking 
 permission Valmiki leave having permitted Valmiki went away heaven ward"
Bala,2,3,Narada going world gods trice sage Valmiki went banks Tamasa river far Jahnavi river
Bala,2,4,sage Valmiki reaching shore clean Tamasa beholding ford river spoke disciple
Bala,2,5, Oh Bharadwaja behold ford dirt clear waters pleasant like virtuous man mind
Bala,2,6," dear Let hand vessel kept Let bark garment given enter best 
 ford Tamasa"
Bala,2,7,said great souled Valmiki Bharadwaaja obedient Guru gave bark garment sage
Bala,2,8,"self controlled Sage Valmiki taking bark garment disciple hands looking directions moved away 
 wide expanse forest"
Bala,2,9,"holy sage Valmiki saw couple curlews vicinity river 
 foreshore flying togetherness cooing charmingly"
Bala,2,10,"tribal hunter evil intent receptacle enimity killed male 
 couple birds Valmiki looking"
Bala,2,11,"wife moving husband red crest joy good wings united male bird seeing 
 bird slain ground reeling blood covered wings wailing sounds piteous utterances separated 
 husband"
Bala,2,13,"seeing bird felled way tribal hunter compassion occassioned 
 saintly sage Valmiki"
Bala,2,14,"seeing wailing female krounchi bird state compassion apperceiving 
 killing male bird unjust sage uttered sentence"
Bala,2,15," Oh violent Hunter reason killed bird couple 
 infatuated passion reason state rest everlasting years come"
Bala,2,16,"speaking pondering heart thoughtful"" utterance grief anguish bird"
Bala,2,17,"great wise intellectual best sages cogitating mind spoke words 
 disciple"
Bala,2,18," tormented grief arose sentence consisting verses possessing metrically posited letters 
 suitable played song string music called Shloka"
Bala,2,19,"disciple happily received articulated saint unique articulation 
 saint delighted"
Bala,2,20,"saint performing bathing ford according custom thinking 
 purport utterance returned hermitage"
Bala,2,21,"Bharadwaja obedient disciple erudite scholar heard learnt 
 scriptures listening taking handy vessel water followed 
 mentor"
Bala,2,22,"knower dharma Valmiki having entered threshold hermitage disciples 
 having seated spoke day day teachings things 
 preoccupied cogitation verse"
Bala,2,23,"great resplendent faced creator fourteen worlds almighty Brahma arrived 
 eminent saint Valmiki"
Bala,2,24,"pious saint Valmiki highly surprised seeing Brahma quickly getting 
 seat palms adjoined humbly stood aside spellbind"
Bala,2,25,"Valmiki uninterruptedly venerated Brahma inquiring washed feet drenched 
 thirst seated rest adored best customarily obeisance"
Bala,2,26,"god Brahma seated high seat highly worshipped Valmiki beckoned 
 Valmiki seat"
Bala,2,27,"Valmiki sat seat duly permitted Brahma Grandparent 
 worlds manifestly sitting broodings happenings 
 occurred day recurred mind"
Bala,2,28," tribal hunter killed cutely calling krouncha bird good reason intending 
 capture kill evil souled caused hardship"
Bala,2,29,"Remaining melancholic mood Valmiki turned mind depth thinking 
 thinking krouncha bird sung verse involuntarily"
Bala,2,30,"Brahma smilingly spoke eminent saint Valmiki"" composed 
 verse need think"
Bala,2,31," Oh Brahman speech sprang forth wish oh eminent sage 
 shall render legend Rama entirety"
Bala,2,32," shall narrate legend Rama virtuous intellectual intrepid 
 godlike person world heard sage Narada"
Bala,2,33," adventures valorous Rama Lakshmana misadventures demons known 
 unknown detail plight Vaidehi revealed un revealed 
 far legend happened known 
 unknown"
Bala,2,35," shall versify heart pleasing merit yielding legend Rama single 
 word false epic"
Bala,2,36," long mountains rivers flourish surface earth long 
 legend Ramayana flourish world"
Bala,2,37," long Rama legend authored flourishes till flourish 
 heavenly netherworlds abode Abode Brahma"
Bala,2,38,"saying Divinity Brahma vanished godly sage 
 Valmiki came astonishment disciples"
Bala,2,39,"disciples Valmiki sang verse time delightedly 
 astonished recited verse reciprocally"
Bala,2,40,"Equally lettered footed verse great Sage Valmiki articulated 
 repetitively recited attained prominence verse proper"
Bala,2,41,"Born intuition great sage contemplated soul asserting"" compose 
 entire Ramayana epic suchlike verses "
Bala,2,42,"celebrated sage magnanimous seer Valmiki authored highly renowned Rama 
 legend extolling Rama renown symmetrically worded verses words versified yield 
 meanings semantically prosody free flowing hundreds verses"
